Gene,Panel
STRN,PANCAN
SUSD2,PANCAN
SUZ12,PANCAN
TAF15,PANCAN
TBL1XR1,PANCAN
TBX3,PANCAN
TCF4,PANCAN
TCF7L2,PANCAN
TCIRG1,PANCAN
TEC,PANCAN
TET1,PANCAN
TET2,PANCAN
TFAP4,PANCAN
TFG,PANCAN
TGFBR2,PANCAN
TGIF1,PANCAN
TLL1,PANCAN
TNC,PANCAN
TNFAIP3,PANCAN
TNFRSF14,PANCAN
TOP1,PANCAN
TOP2A,PANCAN
TP53,PANCAN
TP63,PANCAN
TRAF3,PANCAN
TRIM24,PANCAN
TRIM33,PANCAN
TRIM49C,PANCAN
TRIP11,PANCAN
TRRAP,PANCAN
TSC1,PANCAN
TSC2,PANCAN
U2AF1,PANCAN
U2AF2,PANCAN
UBE2A,PANCAN
UBE2D2,PANCAN
UBR5,PANCAN
UGT2B17,PANCAN
USP44,PANCAN
USP6,PANCAN
USP8,PANCAN
USP9X,PANCAN
VAV1,PANCAN
VHL,PANCAN
WAS,PANCAN
WDR45,PANCAN
WNK2,PANCAN
WNK4,PANCAN
WRN,PANCAN
WT1,PANCAN
XPC,PANCAN
XPO1,PANCAN
ZBTB16,PANCAN
ZBTB20,PANCAN
ZBTB7B,PANCAN
ZCRB1,PANCAN
ZEB1,PANCAN
ZFHX3,PANCAN
ZFP36L1,PANCAN
ZFX,PANCAN
ZNF148,PANCAN
ZNF165,PANCAN
ZNF208,PANCAN
ZNF429,PANCAN
ZNF521,PANCAN
ZNF626,PANCAN
ZNF680,PANCAN
ZNF721,PANCAN
ZNF780A,PANCAN
ZNF814,PANCAN
ZNF93,PANCAN
ZNRF3,PANCAN
ZRSR2,PANCAN
ZXDB,PANCAN
